DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM          -110.058            -110.467             0.409         1.213
RESSURF          -83.531             -83.424            -0.107         6.426
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.235               4.363            -0.128         0.263
CLDHGH            31.148              31.148             0.000         1.096
CLDLOW            37.515              38.222            -0.707         1.677
CLDMED            17.772              17.382             0.390         0.891
CLDTOT            55.868              56.274            -0.406         1.396
EKE_850           55.622              55.018             0.604         1.891
EP             1.779e-01           1.870e-01        -9.060e-03         0.195
FLNS              62.689              62.082             0.607         1.331
FLNSC             91.844              91.164             0.680         1.591
FLNT             213.923             216.280            -2.357         2.577
FLNTC            240.610             243.086            -2.476         2.620
FSDS              79.408              80.754            -1.346         2.079
FSDSC            106.223             108.316            -2.093         2.404
FSNS              71.539              72.784            -1.245         1.799
FSNSC             95.289              97.091            -1.802         2.082
FSNSC_ICE          2.630               2.318             0.312         0.371
FSNSC_LAND        76.050              77.170            -1.119         1.680
FSNT             103.865             105.813            -1.948         2.401
FSNTC            126.657             129.362            -2.704         3.015
ICEAREA           15.748              14.050             1.699         0.102
LHFLX             78.564              80.690            -2.126         4.240
LWCF              26.687              26.806            -0.119         1.029
PRECT              2.464               2.530            -0.066         0.176
PRECT_LAND         0.861               0.919            -0.057         0.124
PRECT_OCEAN        2.918               2.968            -0.049         0.184
PREH2O            13.610              14.497            -0.887         1.017
PREH2O_OCEAN      16.216              17.058            -0.842         1.087
PSI_200            7.237               7.380            -0.143         0.179
PS               983.333             983.642            -0.309         0.665
PSL             1007.326            1007.595            -0.269         0.646
QFLX               2.642               2.717            -0.075         0.131
SHFLX             13.817              13.436             0.380         3.166
SNOWHLND          47.025              46.968             0.058         1.253
SST               13.360              14.091            -0.731         0.744
STRESS_MAG         0.104               0.104            -0.000         0.007
SWCF             -22.792             -23.549             0.756         1.279
T_850            273.222             274.100            -0.879         0.906
TGCLDLWP         141.526             144.252            -2.726         8.233
TGCLDIWP          23.397              22.872             0.525         1.086
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.960             278.906            -0.945         1.042
TS               278.566             279.498            -0.932         1.073
TS_LAND          258.863             259.937            -1.074         1.100
U_200             29.873              30.348            -0.475         0.939
VT_850            -0.380              -0.366            -0.015         0.761
Z3_500            54.537              54.759            -0.223         0.233
