DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            15.845              17.487            -1.641         3.153
RESSURF           16.774              18.189            -1.414         4.918
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.177               1.366            -0.189         0.249
CLDHGH            24.687              24.672             0.015         1.283
CLDLOW            27.454              27.882            -0.428         1.578
CLDMED            15.379              15.030             0.349         0.960
CLDTOT            43.817              44.064            -0.247         1.457
EKE_850           34.009              33.438             0.571         1.505
EP             2.683e-02           1.669e-02         1.013e-02         0.190
FLNS              70.034              69.965             0.069         1.758
FLNSC             92.984              92.794             0.190         1.621
FLNT             226.593             229.062            -2.470         2.922
FLNTC            249.577             252.301            -2.724         2.911
FSDS             207.770             209.199            -1.429         3.615
FSDSC            265.020             268.134            -3.114         3.423
FSNS             163.263             165.828            -2.565         4.270
FSNSC            211.740             215.806            -4.065         5.867
FSNSC_ICE         46.978              48.397            -1.419         5.978
FSNSC_LAND       190.214             194.455            -4.241         5.555
FSNT             242.438             246.549            -4.111         5.181
FSNTC            285.655             291.499            -5.844         7.115
ICEAREA           14.532              13.920             0.612         0.060
LHFLX             52.324              53.276            -0.951         3.396
LWCF              22.985              23.239            -0.254         1.196
PRECT              1.744               1.791            -0.047         0.182
PRECT_LAND         1.481               1.525            -0.044         0.176
PRECT_OCEAN        2.206               2.256            -0.050         0.202
PREH2O            14.560              15.523            -0.963         1.143
PREH2O_OCEAN      20.200              21.338            -1.138         1.429
PSI_200           -7.802              -7.918             0.116         0.151
PS               977.162             977.201            -0.039         0.523
PSL             1016.136            1016.070             0.065         0.515
QFLX               1.771               1.808            -0.037         0.107
SHFLX             24.130              24.399            -0.269         2.127
SNOWHLND           6.995               6.359             0.636         3.498
SST               16.079              16.759            -0.680         0.755
STRESS_MAG         0.046               0.047            -0.001         0.006
SWCF             -43.217             -44.950             1.733         3.357
T_850            276.640             277.688            -1.049         1.100
TGCLDLWP         115.002             117.261            -2.259         8.102
TGCLDIWP          20.697              20.241             0.456         1.121
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.272             282.374            -1.102         1.224
TS               281.788             282.898            -1.110         1.256
TS_LAND          280.007             281.384            -1.376         1.447
U_200             20.777              21.169            -0.392         1.082
VT_850             0.460               0.453             0.008         0.607
Z3_500            56.026              56.242            -0.216         0.225
