DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            50.553              52.029            -1.476         4.155
RESSURF           53.354              55.134            -1.779         4.654
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.661              -3.744             0.084         0.300
CLDHGH            24.951              25.122            -0.171         1.300
CLDLOW            36.789              37.636            -0.847         2.184
CLDMED            13.580              13.429             0.150         1.027
CLDTOT            51.494              52.330            -0.836         2.074
EKE_850           19.378              19.391            -0.012         1.223
EP            -2.241e-01          -2.638e-01         3.963e-02         0.265
FLNS              60.762              59.586             1.176         2.173
FLNSC             85.358              83.743             1.615         2.146
FLNT             247.932             250.117            -2.185         2.865
FLNTC            272.764             275.267            -2.503         2.667
FSDS             232.340             232.140             0.201         5.552
FSDSC            317.027             319.501            -2.474         2.978
FSNS             195.641             197.340            -1.699         4.800
FSNSC            269.482             273.836            -4.354         8.183
FSNSC_ICE        113.569             132.936           -19.368        28.418
FSNSC_LAND       253.998             256.826            -2.829         4.272
FSNT             298.485             302.146            -3.661         5.865
FSNTC            365.447             372.016            -6.568         9.745
ICEAREA            9.472               8.465             1.007         0.072
LHFLX             53.862              54.532            -0.671         3.139
LWCF              24.832              25.150            -0.318         1.363
PRECT              2.108               2.177            -0.069         0.256
PRECT_LAND         2.377               2.431            -0.054         0.250
PRECT_OCEAN        1.954               2.033            -0.079         0.274
PREH2O            26.673              28.698            -2.025         2.153
PREH2O_OCEAN      31.096              33.267            -2.171         2.387
PSI_200           -4.456              -4.583             0.127         0.151
PS               975.993             975.991             0.002         0.359
PSL             1013.666            1013.585             0.081         0.330
QFLX               1.884               1.914            -0.029         0.094
SHFLX             27.663              28.088            -0.425         1.739
SNOWHLND           2.813               2.304             0.508         3.777
SST               19.659              20.443            -0.784         0.852
STRESS_MAG         0.048               0.046             0.002         0.004
SWCF             -66.962             -69.869             2.907         5.922
T_850            287.253             288.436            -1.183         1.223
TGCLDLWP         134.357             136.527            -2.170        10.172
TGCLDIWP          14.266              13.909             0.356         0.969
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.024             293.100            -1.076         1.153
TS               292.607             293.682            -1.075         1.169
TS_LAND          295.620             297.012            -1.391         1.443
U_200              9.479               9.603            -0.125         0.898
VT_850             0.116               0.111             0.005         0.529
Z3_500            57.925              58.167            -0.242         0.247
