DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003  b.e11.TSREFC2.f09.g16.ccmi23.003  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.003        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM           -68.241             -68.588             0.347         1.511
RESSURF          -36.713             -36.417            -0.296         5.692
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.172              -1.262             0.090         0.268
CLDHGH            24.783              24.890            -0.107         1.099
CLDLOW            28.832              29.651            -0.819         2.341
CLDMED            15.171              14.885             0.287         0.959
CLDTOT            44.445              45.049            -0.604         1.948
EKE_850           30.817              30.604             0.213         1.287
EP             3.689e-03          -9.332e-03         1.302e-02         0.208
FLNS              64.660              63.877             0.783         1.800
FLNSC             87.526              86.776             0.749         2.377
FLNT             230.441             232.959            -2.518         2.965
FLNTC            254.104             256.975            -2.871         3.226
FSDS             127.794             128.629            -0.835         2.157
FSDSC            166.371             168.202            -1.831         1.969
FSNS             109.461             110.551            -1.090         2.020
FSNSC            143.351             145.326            -1.975         2.499
FSNSC_ICE          9.942              10.242            -0.300         4.190
FSNSC_LAND       127.441             129.364            -1.923         2.444
FSNT             162.200             164.372            -2.171         2.668
FSNTC            194.330             197.627            -3.298         3.571
ICEAREA            9.501               8.217             1.284         0.113
LHFLX             64.043              65.691            -1.648         4.435
LWCF              23.663              24.015            -0.353         1.186
PRECT              2.179               2.253            -0.074         0.199
PRECT_LAND         1.592               1.668            -0.077         0.195
PRECT_OCEAN        2.931               2.981            -0.050         0.208
PREH2O            19.006              20.458            -1.452         1.611
PREH2O_OCEAN      25.643              27.232            -1.589         1.891
PSI_200           -6.289              -6.379             0.089         0.113
PS               977.062             977.204            -0.143         0.479
PSL             1016.059            1016.096            -0.037         0.462
QFLX               2.183               2.243            -0.061         0.140
SHFLX             17.470              17.399             0.071         2.295
SNOWHLND           2.998               2.533             0.466         3.794
SST               19.366              20.148            -0.782         0.842
STRESS_MAG         0.047               0.047             0.001         0.004
SWCF             -32.129             -33.256             1.127         1.987
T_850            278.893             279.941            -1.047         1.085
TGCLDLWP         129.300             133.148            -3.848        10.068
TGCLDIWP          19.491              18.948             0.543         1.160
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.882             285.130            -1.248         1.483
TS               284.459             285.710            -1.251         1.535
TS_LAND          280.223             281.559            -1.336         1.420
U_200             18.098              18.181            -0.083         0.658
VT_850             0.124               0.123             0.001         0.704
Z3_500            56.568              56.808            -0.241         0.246
